,Reaction,Name,ModelSEED_id,MetaNetX,KEGG_id,ecNumber,BIGG_id,KEGG_id2,Substrates,Substrate Name,Substrate SMILE
0,12PPD_Stex,"(S)-propane-1,2-diol diffusion extracellular to periplasm",None,None,None,None,None,None,['12ppd_S[e]'],"['(S)-propane-1,2-diol']",['CC(CO)O']
1,12PPDtpp,"S-Propane-1,2-diol facilitated transport, periplasmatic",None,None,None,None,None,None,['12ppd_S[p]'],"['(S)-propane-1,2-diol']",['CC(CO)O']
2,1HIBUPGLU_Stex,1-hydroxy S-ibuprofen-glucuronide diffusion extracellular to periplasm,None,None,None,None,None,None,['1hibupglu_S[e]'],['1-hydroxy S-ibuprofen-glucuronide'],[None]
3,1HIBUP_S_GLCAASEepp,"1-hydroxy S-ibuprofen beta-glucuronidase  extracellular, periplasmatic",None,None,None,None,None,None,"['1hibupglu_S[p]', 'h2o[p]']","['1-hydroxy S-ibuprofen-glucuronide', 'Water']","[None, 'O']"
4,1HIBUP_Stex,1-hydroxy S-ibuprofen diffusion extracellular to periplasm,None,None,None,None,None,None,['1hibup_S[e]'],['1-hydroxy S-ibuprofen'],[None]
5,1HMDGLUC_GLCAASEepp,"1-OH-midazolam-glucuronide beta-glucuronidase  extracellular, periplasmatic",None,None,None,None,None,None,"['1hmdgluc[p]', 'h2o[p]']","['1-OH-midazolam-glucuronide', 'Water']","[None, 'O']"
6,1HMDGLUCtex,1-OH-midazolam-glucuronide diffusion extracellular to periplasm,None,None,None,None,None,None,['1hmdgluc[e]'],['1-OH-midazolam-glucuronide'],[None]
7,1OHMDZtex,1-OH-midazolam diffusion extracellular to periplasm,None,None,None,None,None,None,['1ohmdz[e]'],['1-OH-midazolam'],[None]
8,23DHMPO,"(R)-2,3-Dihydroxy-3-methylpentanoate:NADP+ oxidoreductase",rxn03435,MNXR83171,None,1.1.1.86,None,R05068,"['23dhmp[c]', 'nadp[c]']","['(R)-2,3-Dihydroxy-3-methylpentanoate', 'Nicotinamide adenine dinucleotide phosphate']","['CCC(C)(C(C(=O)O)O)O', 'C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O)C(=O)N']"
9,23PDE2,"2,3-Cyclic UMP 3-nucleotidohydrolase",rxn02522,MNXR34,None,3.1.4.16,23CN2P2; 23PDE2pp,R03538,"['23cump[c]', 'h2o[c]']","['2,3-cyclic UMP(1-)', 'Water']","[None, 'O']"
10,23PDE4,"2,3-Cyclic CMP 3-nucleotidohydrolase",rxn02762,MNXR35,None,3.1.4.16,23CN2P3; 23PDE4pp,R03929,"['23ccmp[c]', 'h2o[c]']","['2,3-Cyclic CMP', 'Water']","[None, 'O']"
11,23PDE7,"2,3-Cyclic AMP 3-nucleotidohydrolase",rxn02521,MNXR36,None,3.1.4.16,23CN2P1; 23PDE7pp,R03537,"['23camp[c]', 'h2o[c]']","['2,3-Cyclic AMP', 'Water']","[None, 'O']"
12,23PDE9,"2,3-Cyclic GMP 3-nucleotidohydrolase",rxn03483,MNXR37,None,3.1.4.16,23CN2P4; 23PDE9pp,R05135,"['23cgmp[c]', 'h2o[c]']","['2,3-Cyclic GMP', 'Water']","[None, 'O']"
13,26DAPLLAT,"L,L-diaminopimelate aminotransferase",rxn07441,MNXR33992,None,2.6.1.83,None,R07613,"['26dap_LL[c]', 'akg[c]']","['LL-2,6-Diaminoheptanedioate', '2-Oxoglutarate']","['C(CC(C(=O)O)N)CC(C(=O)O)N', 'C(CC(=O)O)C(=O)C(=O)O']"
14,2AHBUTI,(S)-2-Aceto-2-hydroxybutanoate isomerase,rxn03436,MNXR76597,None,"1.1.1.86, 5.4.99.3",None,R05069,['2ahbut[c]'],['(S)-2-Aceto-2-hydroxybutanoate'],['CCC(C(=O)C)(C(=O)O)O']
15,2HATVACIDGLUC_GLCAASEepp,"2-hydroxy-atorvastatin-acyl-glucuronide beta-glucuronidase  extracellular, periplasmatic",None,None,None,None,None,None,"['2hatvacidgluc[p]', 'h2o[p]']","['2-hydroxy-atorvastatin-acyl-glucuronide', 'Water']","[None, 'O']"
16,2HATVACIDGLUCtex,2-hydroxy-atorvastatin-acyl-glucuronide diffusion extracellular to periplasm,None,None,None,None,None,None,['2hatvacidgluc[e]'],['2-hydroxy-atorvastatin-acyl-glucuronide'],[None]
17,2HATVACIDtex,2-hydroxy-atorvastatin-acid / ortho-hydroxy-atorvastatin acid diffusion extracellular to periplasm,None,None,None,None,None,None,['2hatvacid[e]'],['2-hydroxy-atorvastatin-acid / ortho-hydroxy-atorvastatin acid'],[None]
18,2HATVLACGLUC_GLCAASEepp,"2-hydroxy-atorvastatin-lactone-glucuronide beta-glucuronidase  extracellular, periplasmatic",None,None,None,None,None,None,"['2hatvlacgluc[p]', 'h2o[p]']","['2-hydroxy-atorvastatin-lactone-glucuronide', 'Water']","[None, 'O']"
19,2HATVLACGLUCtex,2-hydroxy-atorvastatin-lactone-glucuronide diffusion extracellular to periplasm,None,None,None,None,None,None,['2hatvlacgluc[e]'],['2-hydroxy-atorvastatin-lactone-glucuronide'],[None]
20,2HATVLACtex,2-hydroxy-atorvastatin-lactone / ortho-hydroxy-atorvastatin lactone diffusion extracellular to periplasm,None,None,None,None,None,None,['2hatvlac[e]'],['2-hydroxy-atorvastatin-lactone / ortho-hydroxy-atorvastatin lactone'],[None]
21,2HIBUPGLU_Stex,2-hydroxy S-ibuprofen-glucuronide diffusion extracellular to periplasm,None,None,None,None,None,None,['2hibupglu_S[e]'],['2-hydroxy S-ibuprofen-glucuronide'],[None]
22,2HIBUP_S_GLCAASEepp,"2-hydroxy-S-ibuprofen beta-glucuronidase  extracellular, periplasmatic",None,None,None,None,None,None,"['2hibupglu_S[p]', 'h2o[p]']","['2-hydroxy S-ibuprofen-glucuronide', 'Water']","[None, 'O']"
23,2HIBUP_Stex,2-hydroxy-S-ibuprofen diffusion extracellular to periplasm,None,None,None,None,None,None,['2hibup_S[e]'],['2-hydroxy-S-ibuprofen'],[None]
24,2IMZS,2-iminoacetate synthase,rxn42709,None,None,None,None,None,"['amet[c]', 'nadph[c]', 'tyr_L[c]']","['S-Adenosyl-L-methionine', 'Nicotinamide adenine dinucleotide phosphate - reduced', 'L-tyrosine']","['C[S+](CCC(C(=O)[O-])N)CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O', 'C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O', 'C1=CC(=CC=C1CC(C(=O)O)N)O']"
25,2MBCOATA,2-methylbutanoyl-CoA[acyl-carrier-protein] transferase,rxn05358,MNXR53357,None,2.3.1.180,None,None,"['2mbcoa[c]', 'ACP[c]']","['2-methylbutanoyl-CoA(4-)', 'acyl carrier protein']","['CCC(C)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O', None]"
26,2OH_CBZ_GLC_GLCAASEepp,"2-Hydroxy Carbamazepine Glucuronide beta-glucuronidase  extracellular, periplasmatic",None,None,None,None,None,None,"['2oh_cbz_glc[p]', 'h2o[p]']","['2-Hydroxy Carbamazepine Glucuronide', 'Water']","[None, 'O']"
27,2OH_CBZ_GLCtex,2-Hydroxy Carbamazepine Glucuronide diffusion extracellular to periplasm,None,None,None,None,None,None,['2oh_cbz_glc[e]'],['2-Hydroxy Carbamazepine Glucuronide'],[None]
28,2OH_CBZtex,2-Hydroxycarbamazepine diffusion extracellular to periplasm,None,None,None,None,None,None,['2oh_cbz[e]'],['2-Hydroxycarbamazepine'],['C1=CC=C2C(=C1)C=CC3=C(N2C(=O)N)C=CC(=C3)O']
29,2OH_MTZ_GLC_GLCAASEepp,"2-Hydroxymetronidazole Glucuronide beta-glucuronidase  extracellular, periplasmatic",None,None,None,None,None,None,"['2oh_mtz_glc[p]', 'h2o[p]']","['2-Hydroxymetronidazole Glucuronide', 'Water']","[None, 'O']"
30,2OH_MTZ_GLCtex,2-Hydroxymetronidazole Glucuronide diffusion extracellular to periplasm,None,None,None,None,None,None,['2oh_mtz_glc[e]'],['2-Hydroxymetronidazole Glucuronide'],[None]
31,2OH_MTZtex,2-Hydroxymetronidazole diffusion extracellular to periplasm,None,None,None,None,None,None,['2oh_mtz[e]'],['2-Hydroxymetronidazole'],['C1=C(N(C(=N1)CO)CCO)[N+](=O)[O-]']
32,2OMFUCtex,2-o-methylfucose (rare sugar in rhamnogalacturonan II) diffusion extracellular to periplasm,None,None,None,None,None,None,['2omfuc[e]'],['2-o-methylfucose (rare sugar in rhamnogalacturonan II)'],[None]
33,2OMXYLtex,2-O-methylxylose (rare sugar in rhamnogalacturonan II) diffusion extracellular to periplasm,None,None,None,None,None,None,['2omxyl[e]'],['2-O-methylxylose (rare sugar in rhamnogalacturonan II)'],[None]
34,3DDLHEPTtex,3-deoxy-d-lyxo-heptulosaric acid (rare sugar in rhamnogalacturonan II) diffusion extracellular to periplasm,None,None,None,None,None,None,['3ddlhept[e]'],['3-deoxy-d-lyxo-heptulosaric acid (rare sugar in rhamnogalacturonan II)'],[None]
35,3HACPR1,3-hydroxyacyl-ACP-dehydratase (FabZ),None,None,None,None,None,None,['3hgACPm[c]'],['3-hydroxyglutaryl-ACP methyl ester'],[None]
36,3HACPR2,3-hydroxyacyl-ACP-dehydratase (FabZ),None,None,None,None,None,None,['3hpACPm[c]'],['3-hydroxypimeloyl-ACP methyl ester'],[None]
37,3HAD100,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C10:0),rxn05333,MNXR68167,None,4.2.1.59,3HAD100; HDEHL4,R04535,['3hdecACP[c]'],['(R)-3-Hydroxydecanoyl-[acyl-carrier protein]'],[None]
38,3HAD10M11,10-methyl-3-hydroxy-undecanoyl-ACP hydro-lyase,rxn05423,MNXR27697,None,4.2.1.59,None,None,['10m3hundecACP[c]'],['10-methyl-3-hydroxy-undecanoyl-ACP'],[None]
39,3HAD10M12,10-methyl-3-hydroxy-dodecanoyl-ACP hydro-lyase,rxn05373,MNXR27647,None,4.2.1.59,None,None,['10m3hddcaACP[c]'],['10-methyl-3-hydroxy-dodecanoyl-ACP'],[None]
40,3HAD11M12,11-methyl-3-hydroxy-dodecanoyl-ACP hydro-lyase,rxn05398,MNXR27672,None,4.2.1.59,None,None,['11m3hddcaACP[c]'],['11-methyl-3-hydroxy-dodecanoyl-ACP'],[None]
41,3HAD120,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C12:0),rxn05331,MNXR68168,None,4.2.1.59,3HAD120; HDDHL5,R04965,['3hddecACP[c]'],['(R)-3-Hydroxydodecanoyl-[acyl-carrier protein]'],[None]
42,3HAD12M13,12-methyl-3-hydroxy-tridecanoyl-ACP hydro-lyase,rxn05427,MNXR27701,None,4.2.1.59,None,None,['12m3htridecACP[c]'],['12-methyl-3-hydroxy-tridecanoyl-ACP'],[None]
43,3HAD12M14,12-methyl-3-hydroxy-tetra-decanoyl-ACP hydro-lyase,rxn05377,MNXR27651,None,4.2.1.59,None,None,['12m3hmyrsACP[c]'],['12-methyl-3-hydroxy-tetra-decanoyl-ACP'],[None]
44,3HAD13M14,13-methyl-3-hydroxy-tetra-decanoyl-ACP hydro-lyase,rxn05402,MNXR27676,None,4.2.1.59,None,None,['13m3hmyrsACP[c]'],['13-methyl-3-hydroxy-tetra-decanoyl-ACP'],[None]
45,3HAD140,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C14:0),rxn05335,MNXR68170,None,4.2.1.59,3HAD140,R04568,['3hmrsACP[c]'],['(R)-3-Hydroxytetradecanoyl-[acyl-carrier protein]'],[None]
46,3HAD14M15,14-methyl-3-hydroxy-pentadecanoyl-ACP hydro-lyase,rxn05431,MNXR27705,None,4.2.1.59,None,None,['14m3hpentdecACP[c]'],['14-methyl-3-hydroxy-pentadecanoyl-ACP'],[None]
47,3HAD14M16,14-methyl-3-hydroxy-hexa-decanoyl-ACP hydro-lyase,rxn05381,MNXR27655,None,4.2.1.59,None,None,['14m3hpalmACP[c]'],['14-methyl-3-hydroxy-hexa-decanoyl-ACP'],[None]
48,3HAD15M16,15-methyl-3-hydroxy-hexa-decanoyl-ACP hydro-lyase,rxn05406,MNXR27680,None,4.2.1.59,None,None,['15m3hpalmACP[c]'],['15-methyl-3-hydroxy-hexa-decanoyl-ACP'],[None]
49,3HAD160,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C16:0),rxn05332,MNXR68172,None,4.2.1.59,3HAD160,R04544,['3hpalmACP[c]'],['R-3-hydroxypalmitoyl-[acyl-carrier protein]'],[None]
50,3HAD180,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C18:0),rxn05462,MNXR27736,None,4.2.1.59,None,None,['3hoctaACP[c]'],['(R)-3-Hydroxyoctadecanoyl-[acyl-carrier protein]'],[None]
51,3HAD40,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C4:0),rxn05329,MNXR71008,None,4.2.1.59,HBUHL1,R04428,['3haACP[c]'],['(3R)-3-Hydroxyacyl-[acyl-carrier protein]'],[None]
52,3HAD4M5,4-methyl-3-hydroxy-pentanoyl-ACP hydro-lyase,rxn05411,MNXR27685,None,4.2.1.59,None,None,['4m3hpentACP[c]'],['4-methyl-3-hydroxy-pentanoyl-ACP'],[None]
53,3HAD4M6,4-methyl-3-hydroxy-hexanoyl-ACP hydro-lyase,rxn05361,MNXR27635,None,4.2.1.59,None,None,['4m3hhexACP[c]'],['4-methyl-3-hydroxy-hexanoyl-ACP'],[None]
54,3HAD5M6,5-methyl-3-hydroxy-hexanoyl-ACP hydro-lyase,rxn05386,MNXR27660,None,4.2.1.59,None,None,['5m3hhexACP[c]'],['5-methyl-3-hydroxy-hexanoyl-ACP'],[None]
